Kryterium,Waga kryterium,Podkryterium - Obiekt,Waga podkryterium,Jednostka w buforze,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W47,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W48,W37,W38,W39,W40,W41,W42,W49,W43,W44,W45,W46,W50
,,Odległości pomiędzy kluczowymi punktami węzłowymi sieci DSR Kraków Mistrzejowice I - Głogoczów,4,m,36 387.37,37 813.64,37 148.42,36 366.82,36 910.41,37 648.53,36 633.88,33 830.83,33 641.05,36 547.06,36 141.90,35 880.63,34 493.60,36 025.87,38 383.01,39 791.07,38 063.55,37 421.54,39 860.40,36 074.15,38 461.86,37 198.62,33 673.41,34 140.72,40 833.97,37 198.95,35 884.09,37 817.47,35 966.03,36 517.51,37 496.83,39 304.93,42 235.99,40 946.61,36 389.56,33 787.58,37 524.50,32 315.46,40 462.20,39 905.93,40 226.78,39 049.67,38 112.66,40 917.05,36 642.08,51 709.91,48 948.93,46 538.85,51 096.71,46 328.61
,,Liczba węzłów,4,szt.,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,6,5,5,6,5
,,Prognoza ruchu (SDR),5,poj./dobę,59 208,52 152,65 346,56 355,52 152,52 152,52 152,68 100,68 288,68 079,34 018,34 018,69 014,68 079,68 438,68 438,49 077,55 266,53 202,54 764,55 266,54 064,50 061,36 538,40 517,50 981,45 398,48 392,52 023,44 824,45 771,44 479,36 407,36 407,51 644,42 362,45 771,33 492,39 254,39 254,40 402,38 261,38 261,39 254,35 288,29 240,30 650,29 393,30 231,22 555
,,Dodatkowe natężenie na A4 (SDR),4,poj./dobę,822,735,-43,743,735,735,735,771,920,842,-8,-8,917,842,870,870,443,654,650,445,654,540,13,80,783,1 443,692,1 121,1 083,465,554,746,406,406,1 232,122,554,-1 030,-5 021,-5 021,-4 609,-4 626,-4 626,-5 021,-5 188,-1 173,-1 426,-1 778,-786,-2 485
,,Ilość przecinanych dróg,3,szt.,82,90,154,53,61,61,61,221,222,141,109,93,131,135,147,145,112,109,91,98,114,94,83,234,119,112,102,131,98,111,129,119,153,127,133,119,125,124,168,180,182,168,163,184,195,174,141,132,160,146
,,Natężenie ruchu ciężkiego na projektowanej trasie,4,poj./dobę,6 257,5 608,5 995,6 649,5 608,5 608,5 608,7 525,7 608,7 454,4 507,4 507,7 726,7 454,7 428,7 428,4 737,4 911,4 665,6 552,4 911,5 730,6 349,3 482,3 104,5 640,5 693,5 144,6 478,5 173,4 520,3 721,1 952,1 952,5 903,4 295,4 520,3 986,2 520,2 520,2 660,3 348,3 348,2 520,3 622,3 388,3 899,3 987,3 519,2 446
,,Natężenie ruchu pozostające na zastępowanym ciągu drogowym,5,%,"23,62%","33,47%","14,87%","29,98%","33,47%","33,47%","33,47%","9,82%","6,98%","17,82%","46,05%","46,05%","15,40%","17,82%","17,50%","17,50%","31,91%","29,53%","34,80%","26,58%","29,53%","28,28%","32,44%","51,12%","46,34%","34,05%","40,81%","37,20%","33,05%","41,20%","41,71%","42,79%","51,62%","51,62%","34,16%","44,97%","41,71%","54,06%","52,22%","52,22%","51,41%","52,27%","52,27%","52,22%","54,31%","62,36%","60,98%","61,56%","61,83%","68,48%"
,,Dostępność demograficzna,4,szt.,63,65,64,64,65,65,64,61,61,64,61,61,61,63,60,61,63,67,67,66,67,66,64,68,71,70,71,71,70,71,71,71,74,73,71,70,71,69,76,76,76,74,74,76,74,81,78,77,79,77
,,Zmiana długości sieci dróg krajowych,3,m,1 800.00,2 126.27,5 061.05,"679,45",1 223.04,1 961.16,"946,51",4 250.51,5 360.73,5 466.74,2 824.63,2 563.36,3 413.28,4 945.56,3 223.27,4 631.34,4 746.28,7 037.16,9 476.03,5 689.77,8 077.49,6 814.25,3 289.04,6 154.79,12 848.04,9 213.02,7 898.16,9 831.55,7 980.11,10 189.69,11 169.01,12 977.11,15 908.17,14 618.79,10 061.73,7 459.76,11 196.68,5 987.64,19 228.24,18 671.97,18 992.82,17 815.71,16 878.71,19 683.09,15 408.12,21 887.38,19 126.39,16 716.31,21 274.17,16 506.07
,,Ocena punktu włączenia do A4 (wg opracowania dot. pkt początkowych i końcowych),4,-,18,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,12,12,12,12,12
