Kryterium,Waga kryterium,Podkryterium - Obiekt,Waga podkryterium,Jednostka w buforze,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W47,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W48,W37,W38,W39,W40,W41,W42,W49,W43,W44,W45,W46,W50
,,Twierdza lub forteca,4,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Skansen,4,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Zespół  muzealny,4,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Inne obiekty,3,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Stanowiska archeologiczne,3,szt.,1,2,1,2,1,2,0,1,1,0,0,0,0,0,3,3,3,0,1,0,0,2,1,1,2,2,1,0,0,0,0,2,4,2,0,2,1,1,0,2,1,4,1,5,0,0,4,1,2,1
,,Obiekty wpisane do rejestru zabytków,4,szt.,3,0,3,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,1,0,2,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3
,,Obiekty wpisane do ewidencji zabytków,3,szt.,38,3,2,0,0,0,0,38,2,1,0,1,0,0,0,1,0,0,0,1,0,2,2,5,0,1,1,0,1,0,0,0,2,1,0,0,1,5,0,0,0,0,0,0,2,1,0,1,0,2
Transportowo-ruchowe,5,Długość dróg (S7),4,m,10 443.60,5 938.76,10 738.61,7 136.39,5 997.61,6 011.55,6 355.30,10 528.14,11 014.27,7 527.99,6 934.98,7 182.71,7 573.79,7 898.49,7 446.34,7 732.60,6 797.96,7 720.37,7 212.17,7 961.91,8 318.29,7 393.21,11 008.06,8 501.22,10 403.23,11 142.35,7 333.43,8 902.99,7 255.10,9 118.66,10 149.51,9 832.20,12 067.83,11 678.94,9 250.70,8 636.86,9 496.01,11 295.14,13 185.03,9 239.44,8 879.25,9 456.45,9 821.80,10 331.87,10 524.63,10 532.87,10 157.72,8 660.17,9 424.72,11 011.72
,,Odległości pomiędzy kluczowymi punktami węzłowymi sieci DSR Kraków Mistrzejowice I - Głogoczów,4,m,36 387.37,37 813.64,37 148.42,36 366.82,36 910.41,37 648.53,36 633.88,33 830.83,33 641.05,36 547.06,36 141.90,35 880.63,34 493.60,36 025.87,38 383.01,39 791.07,38 063.55,37 421.54,39 860.40,36 074.15,38 461.86,37 198.62,33 673.41,34 140.72,40 833.97,37 198.95,35 884.09,37 817.47,35 966.03,36 517.51,37 496.83,39 304.93,42 235.99,40 946.61,36 389.56,33 787.58,37 524.50,32 315.46,40 462.20,39 905.93,40 226.78,39 049.67,38 112.66,40 917.05,36 642.08,51 709.91,48 948.93,46 538.85,51 096.71,46 328.61
,,Liczba węzłów,4,szt.,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,Prognoza ruchu (SDR),5,poj./dobę,41 342,35 495,43 320,39 334,35 495,35 495,35 495,49 580,53 826,54 470,41 121,41 121,51 586,54 470,50 153,50 153,40 173,37 462,40 650,38 126,37 462,38 382,42 968,39 432,25 755,33 068,31 569,31 335,37 943,27 633,24 833,27 337,20 444,20 444,30 524,28 196,24 833,40 711,19 261,19 261,21 970,17 629,17 629,19 261,43 332,14 075,15 524,15 054,15 106,38 962
,,Dodatkowe natężenie na A4 (SDR),4,poj./dobę,822,735,-43,743,735,735,735,771,920,842,-8,-8,917,842,870,870,443,654,650,445,654,540,13,80,783,1 443,692,1 121,1 083,465,554,746,406,406,1 232,122,554,-1 030,-5 021,-5 021,-4 609,-4 626,-4 626,-5 021,-5 188,-1 173,-1 426,-1 778,-786,-2 485
,,Ilość przecinanych dróg,3,szt.,110,57,177,93,30,43,55,89,177,62,59,52,59,67,62,48,58,57,38,77,58,77,177,92,82,126,73,57,50,54,60,95,150,75,59,105,68,204,84,69,73,72,59,71,241,96,112,64,81,176
,,Natężenie ruchu ciężkiego na projektowanej trasie,4,poj./dobę,4 863,4 326,4 753,5 014,5 298,4 326,4 326,5 975,6 134,5 803,5 000,5 000,6 033,5 803,5 207,5 207,4 495,4 173,4 725,4 464,4 173,4 281,4 955,4 887,2 681,3 941,3 813,4 073,4 563,3 438,2 727,3 292,1 442,1 442,3 679,2 971,2 727,4 851,1 889,1 889,1 965,1 944,1 944,1 889,5 007,1 598,1 859,1 880,1 642,4 677
,,Natężenie ruchu pozostające na zastępowanym ciągu drogowym,5,%,"20,23%","34,55%","13,82%","28,38%","34,55%","34,55%","34,55%","16,79%","11,44%","19,30%","19,75%","19,75%","14,49%","19,30%","16,39%","16,39%","24,50%","29,20%","25,83%","27,22%","29,20%","27,74%","15,36%","22,39%","48,85%","34,72%","40,97%","40,70%","29,45%","47,46%","51,37%","46,38%","58,55%","58,55%","36,66%","46,90%","51,37%","17,62%","62,20%","62,20%","57,49%","64,99%","64,99%","62,20%","13,65%","71,01%","68,81%","69,60%","68,86%","19,71%"
,,Dostępność demograficzna,4,szt.,63,54,61,58,55,53,56,63,61,57,57,57,59,57,57,57,57,56,58,57,58,57,61,60,60,59,56,60,58,60,60,59,61,60,59,58,61,61,63,59,58,60,60,59,61,60,60,59,58,61
,,Zmiana długości sieci dróg krajowych,3,m,"243,60",-2 261.24,1 438.61,"-263,61",-2 202.39,-2 188.45,-1 844.70,"328,14",1 714.27,-1 472.01,-1 965.02,-1 817.29,-1 326.21,-1 001.51,-1 553.66,-1 767.40,-2 202.04,-1 879.63,-2 387.83,-1 038.09,-1 381.71,-1 606.79,1 708.06,"601,22",-1 396.77,"242,35","-966,57","-797,01",-2 344.90,"-581,34","449,51","232,20",2 567.83,2 078.94,-2 549.30,"-463,14","-3,99",2 595.14,3 485.03,"-460,56","-720,75","-243,55","221,80","731,87",2 724.63,1 082.87,"507,72","-989,83","-175,28",1 711.72
,,Ocena punktu włączenia do A4 (wg opracowania dot. pkt początkowych i końcowych),4,-,18,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,12,12,12,12,12
