Kryterium,Waga kryterium,Podkryterium - Obiekt,Waga podkryterium,Jednostka w buforze,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W47,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W48,W37,W38,W39,W40,W41,W42,W49,W43,W44,W45,W46,W50
,,Budynki biurowe,3,szt.,0,1,0,2,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,"Budynki produkcyjne, usługowe i gospodarcze dla rolnictwa",3,szt.,38,32,49,41,17,16,34,23,48,39,18,15,10,13,14,17,22,5,28,43,8,11,49,32,29,27,21,19,33,11,33,48,60,19,10,43,20,50,27,12,43,45,7,20,59,47,46,30,46,50
,,Pozostałe budynki niemieszkalne,3,szt.,1,0,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,3,0,0,0,0,3
,,Budynki mieszkalne,4,szt.,64,61,58,94,40,44,57,50,56,52,34,50,24,27,24,27,43,31,49,34,30,28,57,36,61,61,34,20,57,23,65,87,112,52,17,40,43,85,56,72,78,53,12,65,98,67,100,41,89,60
Ekonomiczne (Geologia),5,Obszary zagrożone ruchami masowymi,4,m2,"0,00",23 914.31,"0,00","0,00",1 887.84,6 967.53,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",23 233.92,"0,00","0,00","0,00","0,00",21 183.67,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",11 643.59,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Osuwisko aktywne ciągle,5,m2,"0,00",1 228.39,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","19,11","640,34","0,00","0,00","0,00","372,18",1 805.95,1 076.59,"0,00","879,72","199,05","0,00","0,00","0,00","0,00",2 458.89,"186,38","0,00","636,93",1 999.64,7 849.83,2 214.27,16 591.81,15 889.57,1 266.57,1 118.42,"0,00","58,14","0,00",8 589.47,4 854.68,4 395.27,20 269.24,2 867.48,"0,00","627,83",10 671.81,3 466.59,"0,00",6 313.72,"0,00"
,,Osuwisko aktywne okresowo,4,m2,3 903.38,3 624.94,3 581.07,"0,00","0,00","0,00","0,00",1 105.12,3 581.07,"0,00",4 258.09,"0,00",1 207.64,5 999.16,1 088.68,9 156.84,3 474.66,"0,00","130,22","388,82","0,00","480,69",3 581.07,"0,00",2 114.78,"0,00","140,17",2 427.55,"804,88","837,52","438,32","593,30",15 128.91,"955,64","0,00","0,00","0,00",9 302.07,2 478.61,"35,58","0,00",8 182.31,"14,06","0,00","0,00",8 368.67,2 830.71,"0,00","0,00",3 581.07
,,Osuwisko nieaktywne,3,m2,7 870.71,5 270.65,16 985.03,6 497.50,5 047.37,3 170.34,4 380.47,7 650.84,16 824.20,10 202.14,11 976.01,10 202.53,"215,04",11 101.00,9 550.56,6 769.91,"70,22",6 625.50,"0,00","0,00","0,00",15 973.39,16 824.20,"0,00",3 405.71,6 329.87,"0,00",17 288.15,"0,00",7 061.37,1 005.72,14 116.47,33 055.89,10 988.30,1 075.11,11 247.18,6 234.60,7 532.97,13 022.97,5 023.15,4 001.79,3 644.62,"300,19",4 088.89,9 378.60,18 759.38,13 479.68,2 174.55,14 050.65,17 387.34
Ekonomiczne (Tereny i kategorie górnicze),5,Kategoria I,3,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Kategoria II,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Kategoria III,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Kategoria IV,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Kategoria V,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Wody lecznicze,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Piaski i żwiry,3,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Kamienie łamane i bloczne,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Gazy ziemne,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Solanka,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ekonomiczne (Budowa),5,Moduł bilansu robót ziemnych,3,m3,869 558.18,588 588.63,468 587.49,674 513.27,1 525 562.16,669 202.12,806 379.68,1 672 701.78,725 199.92,490 963.95,111 979.38,562 550.78,112 595.24,231 643.60,319 312.65,181 719.92,655 445.54,714 138.49,682 146.89,622 234.41,1 328 971.11,1 124 407.27,438 748.32,585 229.67,1 137 494.26,2 051 916.26,264 452.05,1 951 042.02,740 847.22,878 168.98,814 553.05,1 013 167.83,1 260 012.28,522 278.70,996 568.87,57 073.70,1 068 267.66,1 334 851.87,915 378.96,957 799.11,863 567.01,1 143 702.59,1 448 416.20,1 059 950.16,1 742 944.82,1 477 232.73,1 251 129.00,1 117 714.28,522 380.83,499 620.37
